name,street,city,visit,infractions
Ecole Notre-dame-du-Sault Serving Kitchen,600 North St,Sault Ste. Marie,2016-03-01,Food contact surfaces washed / rinsed / sanitized after each use and following any operations when contamination may have occurred
Ecole Notre-dame-du-Sault Serving Kitchen,600 North St,Sault Ste. Marie,2016-03-01,No infractions found at the time of inspection
Ecole St-Joseph Nutrtition Program,44 Lawton,Blind River,2017-10-24,Food contact surfaces washed / rinsed / sanitized after each use and following any operations when contamination may have occurred
Ecole St-Joseph Nutrtition Program,44 Lawton,Blind River,2017-10-24,"Manual dishwashing: Wash, rinse, sanitize technique"
Ecole St-Joseph Nutrtition Program,44 Lawton,Blind River,2017-10-24,Sanitize test kit / thermometer readily available for verifying dishwashing and sanitizing temperatures
Ecole St-Joseph Nutrtition Program,44 Lawton,Blind River,2017-10-24,No infractions found at the time of inspection
Ecole St-Joseph Nutrtition Program,44 Lawton,Blind River,2016-10-24,Sanitize test kit / thermometer readily available for verifying dishwashing and sanitizing temperatures
Ecole St-Joseph Nutrtition Program,44 Lawton,Blind River,2016-10-24,Food contact surfaces washed / rinsed / sanitized after each use and following any operations when contamination may have occurred
Ecole St-Joseph Nutrtition Program,44 Lawton,Blind River,2016-10-24,Food is frozen at -18°C (0°F) or less
Ecole St-Joseph Nutrtition Program,44 Lawton,Blind River,2016-10-24,Food is held at 4°C (40°F) or less
Ecole St-Joseph Nutrtition Program,44 Lawton,Blind River,2016-10-24,"Manual dishwashing: Wash, rinse, sanitize technique"
Ecole St-Joseph Nutrtition Program,44 Lawton,Blind River,2016-10-24,Washing hands thoroughly before and after handling food
Edda's Edibles,1 College Place,Elliot Lake,2017-09-29,No infractions found at the time of inspection
Edda's Edibles,1 College Place,Elliot Lake,2017-09-29,No infractions found at the time of inspection
EJM Catering,2  Albert Street,Sault Ste. Marie,2015-09-21,No infractions found at the time of inspection
EJM Catering,2  Albert Street,Sault Ste. Marie,2015-09-21,No infractions found at the time of inspection
EJM Catering,2  Albert Street,Sault Ste. Marie,2015-09-11,No infractions found at the time of inspection
EJM Catering,2  Albert Street,Sault Ste. Marie,2015-09-11,No infractions found at the time of inspection
EJM Catering,2  Albert Street,Sault Ste. Marie,2014-10-10,Separate hand washing basin provided for food handlers
EJM Catering,2  Albert Street,Sault Ste. Marie,2014-10-10,No infractions found at the time of inspection
Elks Lodge Bar,216 Bay Street,Sault Ste. Marie,2017-11-14,No infractions found at the time of inspection
Elks Lodge Bar,216 Bay Street,Sault Ste. Marie,2017-11-14,No infractions found at the time of inspection
Elks Lodge Bar,216 Bay Street,Sault Ste. Marie,2016-11-23,No infractions found at the time of inspection
Elks Lodge Bar,216 Bay Street,Sault Ste. Marie,2016-11-23,No infractions found at the time of inspection
Elks Lodge Bar,216 Bay Street,Sault Ste. Marie,2015-12-11,No infractions found at the time of inspection
Elks Lodge Bar,216 Bay Street,Sault Ste. Marie,2015-12-11,"Mechanical dishwashing: Wash / rinse water clean, water temperature, timing cycles, sanitizer"
Elks Lodge Hall,216 Bay Street,Sault Ste. Marie,2017-11-14,No infractions found at the time of inspection
Elks Lodge Hall,216 Bay Street,Sault Ste. Marie,2017-11-14,No infractions found at the time of inspection
Elks Lodge Hall,216 Bay Street,Sault Ste. Marie,2017-06-08,No infractions found at the time of inspection
Elks Lodge Hall,216 Bay Street,Sault Ste. Marie,2017-06-08,Hand washing basin with supplies of soap and paper towels in dispensers
Elks Lodge Hall,216 Bay Street,Sault Ste. Marie,2017-06-08,Separate hand washing basin provided for food handlers
Elks Lodge Hall,216 Bay Street,Sault Ste. Marie,2016-12-08,No infractions found at the time of inspection
Elks Lodge Hall,216 Bay Street,Sault Ste. Marie,2016-12-08,No infractions found at the time of inspection
Elliot Lake Blossoms,253 Hillside Drive,Elliot Lake,2017-03-23,No infractions found at the time of inspection
Elliot Lake Blossoms,253 Hillside Drive,Elliot Lake,2017-03-23,No infractions found at the time of inspection
Elliot Lake Blossoms,253 Hillside Drive,Elliot Lake,2014-08-19,No infractions found at the time of inspection
Elliot Lake Blossoms,253 Hillside Drive,Elliot Lake,2014-08-19,No infractions found at the time of inspection
Elliot Lake Blossoms,253 Hillside Drive,Elliot Lake,2013-05-15,No infractions found at the time of inspection
Elliot Lake Blossoms,253 Hillside Drive,Elliot Lake,2013-05-15,No infractions found at the time of inspection
Elliot Lake Food Bank,5  Mary Walk,Elliot Lake,2017-06-19,No infractions found at the time of inspection
Elliot Lake Food Bank,5  Mary Walk,Elliot Lake,2017-06-19,No infractions found at the time of inspection
Elliot Lake Food Bank,5  Mary Walk,Elliot Lake,2016-04-20,No infractions found at the time of inspection
Elliot Lake Food Bank,5  Mary Walk,Elliot Lake,2016-04-20,No infractions found at the time of inspection
Elliot Lake Food Bank,5  Mary Walk,Elliot Lake,2015-06-10,No infractions found at the time of inspection
Elliot Lake Food Bank,5  Mary Walk,Elliot Lake,2015-06-10,Food is frozen at -18°C (0°F) or less
Elliot Lake Meats & Deli,4  Prince Edward Walk,Elliot Lake,2017-10-18,No infractions found at the time of inspection
Elliot Lake Meats & Deli,4  Prince Edward Walk,Elliot Lake,2017-10-18,No infractions found at the time of inspection
Elliot Lake Meats & Deli,4  Prince Edward Walk,Elliot Lake,2017-02-07,No infractions found at the time of inspection
Elliot Lake Meats & Deli,4  Prince Edward Walk,Elliot Lake,2017-02-07,No infractions found at the time of inspection
Elliot Lake Meats & Deli,4  Prince Edward Walk,Elliot Lake,2016-10-24,No infractions found at the time of inspection
Elliot Lake Meats & Deli,4  Prince Edward Walk,Elliot Lake,2016-10-24,No infractions found at the time of inspection
Elliot Lake Secondary School Cafeteria,303 Mississauga,Elliot Lake,2017-10-06,No infractions found at the time of inspection
Elliot Lake Secondary School Cafeteria,303 Mississauga,Elliot Lake,2017-10-06,No infractions found at the time of inspection
Elliot Lake Secondary School Cafeteria,303 Mississauga,Elliot Lake,2017-01-12,No infractions found at the time of inspection
Elliot Lake Secondary School Cafeteria,303 Mississauga,Elliot Lake,2017-01-12,No infractions found at the time of inspection
Elliot Lake Secondary School Cafeteria,303 Mississauga,Elliot Lake,2016-04-05,No infractions found at the time of inspection
Elliot Lake Secondary School Cafeteria,303 Mississauga,Elliot Lake,2016-04-05,No infractions found at the time of inspection
Elliot Lake Trading Post,Oakland Plaza,Elliot Lake,2017-06-21,No infractions found at the time of inspection
Elliot Lake Trading Post,Oakland Plaza,Elliot Lake,2017-06-21,No infractions found at the time of inspection
Elliot Lake Trading Post,Oakland Plaza,Elliot Lake,2016-05-03,No infractions found at the time of inspection
Elliot Lake Trading Post,Oakland Plaza,Elliot Lake,2016-05-03,No infractions found at the time of inspection
Elliot Lake Trading Post,Oakland Plaza,Elliot Lake,2015-06-09,No infractions found at the time of inspection
Elliot Lake Trading Post,Oakland Plaza,Elliot Lake,2015-06-09,No infractions found at the time of inspection
Elliot's Ice Cream,810 Queen St E,Sault Ste. Marie,2017-06-08,No infractions found at the time of inspection
Elliot's Ice Cream,810 Queen St E,Sault Ste. Marie,2017-06-08,No infractions found at the time of inspection
Embassy Restaurant,70  BROADWAY AVENUE,Wawa,2017-08-28,No infractions found at the time of inspection
Embassy Restaurant,70  BROADWAY AVENUE,Wawa,2017-08-28,No infractions found at the time of inspection
Embassy Restaurant,70  BROADWAY AVENUE,Wawa,2017-06-27,"Adequate protection against the entrance of insects, birds, rodents, and other pests and animals"
Embassy Restaurant,70  BROADWAY AVENUE,Wawa,2017-06-27,Food protected from potential contamination and adulteration
Embassy Restaurant,70  BROADWAY AVENUE,Wawa,2017-06-27,No infractions found at the time of inspection
Embassy Restaurant,70  BROADWAY AVENUE,Wawa,2017-01-23,No infractions found at the time of inspection
Embassy Restaurant,70  BROADWAY AVENUE,Wawa,2017-01-23,No infractions found at the time of inspection
Embers Grill and Smokehouse,531 Albert St,Sault Ste. Marie,2017-10-18,Thorough cooking to minimum internal food temperature
Embers Grill and Smokehouse,531 Albert St,Sault Ste. Marie,2017-10-18,No infractions found at the time of inspection
Embers Grill and Smokehouse,531 Albert St,Sault Ste. Marie,2017-08-22,No infractions found at the time of inspection
Embers Grill and Smokehouse,531 Albert St,Sault Ste. Marie,2017-08-22,No infractions found at the time of inspection
Embers Grill and Smokehouse,531 Albert St,Sault Ste. Marie,2017-03-28,"Adequate protection against the entrance of insects, birds, rodents, and other pests and animals"
Embers Grill and Smokehouse,531 Albert St,Sault Ste. Marie,2017-03-28,No infractions found at the time of inspection
Emmanuel United Church,224 Bennett Boulevard,Sault Ste. Marie,2016-09-06,No infractions found at the time of inspection
Emmanuel United Church,224 Bennett Boulevard,Sault Ste. Marie,2016-09-06,No infractions found at the time of inspection
Emmanuel United Church,224 Bennett Boulevard,Sault Ste. Marie,2015-10-01,Certified food handler on site during inspection
Emmanuel United Church,224 Bennett Boulevard,Sault Ste. Marie,2015-10-01,Proper use and storage of clean utensils (including single service utensils)
Emmanuel United Church,224 Bennett Boulevard,Sault Ste. Marie,2015-10-01,No infractions found at the time of inspection
Emmanuel United Church,224 Bennett Boulevard,Sault Ste. Marie,2014-12-16,No infractions found at the time of inspection
Emmanuel United Church,224 Bennett Boulevard,Sault Ste. Marie,2014-12-16,No infractions found at the time of inspection
Emmaus Anglican Church,1643 Wellington Street,Sault Ste. Marie,2016-10-31,No infractions found at the time of inspection
Emmaus Anglican Church,1643 Wellington Street,Sault Ste. Marie,2016-10-31,No infractions found at the time of inspection
Emmaus Anglican Church,1643 Wellington Street,Sault Ste. Marie,2016-10-17,Thermometers used to verify food preparation and storage temperatures;
Emmaus Anglican Church,1643 Wellington Street,Sault Ste. Marie,2016-10-17,No infractions found at the time of inspection
Emmaus Anglican Church,1643 Wellington Street,Sault Ste. Marie,2015-10-08,"Equipment, non-food contact surfaces and linen are maintained, designed, constructed, installed and accessible for cleaning"
Emmaus Anglican Church,1643 Wellington Street,Sault Ste. Marie,2015-10-08,Sanitize test kit / thermometer readily available for verifying dishwashing and sanitizing temperatures
Enzo's Eatery,44 Great Northern Road,Sault Ste. Marie,2017-05-15,No infractions found at the time of inspection
Enzo's Eatery,44 Great Northern Road,Sault Ste. Marie,2017-05-15,No infractions found at the time of inspection
Enzo's Eatery,44 Great Northern Road,Sault Ste. Marie,2016-11-03,No infractions found at the time of inspection
Enzo's Eatery,44 Great Northern Road,Sault Ste. Marie,2016-11-03,Food contact surfaces washed / rinsed / sanitized after each use and following any operations when contamination may have occurred
Enzo's Eatery,44 Great Northern Road,Sault Ste. Marie,2016-06-23,No infractions found at the time of inspection
Enzo's Eatery,44 Great Northern Road,Sault Ste. Marie,2016-06-23,Hot holding: minimum of 60°C (140°F) after cooking / rapid re-heating
Erb Transport Ltd.,285  Wilson Street,Sault Ste. Marie,2016-10-21,No infractions found at the time of inspection
Erb Transport Ltd.,285  Wilson Street,Sault Ste. Marie,2016-10-21,No infractions found at the time of inspection
Erb Transport Ltd.,285  Wilson Street,Sault Ste. Marie,2015-12-15,No infractions found at the time of inspection
Erb Transport Ltd.,285  Wilson Street,Sault Ste. Marie,2015-12-15,No infractions found at the time of inspection
Erb Transport Ltd.,285  Wilson Street,Sault Ste. Marie,2013-05-10,No infractions found at the time of inspection
Erb Transport Ltd.,285  Wilson Street,Sault Ste. Marie,2013-05-10,No infractions found at the time of inspection
Ernie's Coffee Shop,13 Queen Street,Sault Ste. Marie,2017-09-26,Washing hands thoroughly before and after handling food
Ernie's Coffee Shop,13 Queen Street,Sault Ste. Marie,2017-09-26,Food contact surfaces washed / rinsed / sanitized after each use and following any operations when contamination may have occurred
Ernie's Coffee Shop,13 Queen Street,Sault Ste. Marie,2017-06-08,No infractions found at the time of inspection
Ernie's Coffee Shop,13 Queen Street,Sault Ste. Marie,2017-06-08,No infractions found at the time of inspection
Ernie's Coffee Shop,13 Queen Street,Sault Ste. Marie,2017-01-13,No infractions found at the time of inspection
Ernie's Coffee Shop,13 Queen Street,Sault Ste. Marie,2017-01-13,Food contact surfaces washed / rinsed / sanitized after each use and following any operations when contamination may have occurred
Ernie's Coffee Shop,13 Queen Street,Sault Ste. Marie,2017-01-13,Washing hands thoroughly before and after handling food
Ernie's Restaurant,PO BOX 31 DOG LAKE,Missanabie,2017-03-27,No infractions found at the time of inspection
Ernie's Restaurant,PO BOX 31 DOG LAKE,Missanabie,2017-03-27,No infractions found at the time of inspection
Ernie's Restaurant,PO BOX 31 DOG LAKE,Missanabie,2015-09-23,Certified food handler on site during inspection
Ernie's Restaurant,PO BOX 31 DOG LAKE,Missanabie,2015-09-23,No infractions found at the time of inspection
Ernie's Restaurant,PO BOX 31 DOG LAKE,Missanabie,2015-05-29,Certified food handler on site during inspection
Ernie's Restaurant,PO BOX 31 DOG LAKE,Missanabie,2015-05-29,"Manual dishwashing: Wash, rinse, sanitize technique"
Ernie's Restaurant,PO BOX 31 DOG LAKE,Missanabie,2015-05-29,Sanitary maintenance of and provision of required supplies in staff / public washroom facilities
Ernie's Restaurant,PO BOX 31 DOG LAKE,Missanabie,2015-05-29,Separate hand washing basin provided for food handlers
Ernie's Restaurant,PO BOX 31 DOG LAKE,Missanabie,2015-05-29,No infractions found at the time of inspection
Esquire Club,103  Second Line,Sault Ste. Marie,2017-09-28,No infractions found at the time of inspection
Esquire Club,103  Second Line,Sault Ste. Marie,2017-09-28,No infractions found at the time of inspection
Esquire Club,103  Second Line,Sault Ste. Marie,2017-05-03,No infractions found at the time of inspection
Esquire Club,103  Second Line,Sault Ste. Marie,2017-05-03,No infractions found at the time of inspection
Esquire Club,103  Second Line,Sault Ste. Marie,2016-10-13,No infractions found at the time of inspection
Esquire Club,103  Second Line,Sault Ste. Marie,2016-10-13,No infractions found at the time of inspection
Essar Centre Concession Stands,269 Queen Street,Sault Ste. Marie,2017-06-12,No infractions found at the time of inspection
Essar Centre Concession Stands,269 Queen Street,Sault Ste. Marie,2017-06-12,No infractions found at the time of inspection
Essar Centre Concession Stands,269 Queen Street,Sault Ste. Marie,2016-12-08,No infractions found at the time of inspection
Essar Centre Concession Stands,269 Queen Street,Sault Ste. Marie,2016-12-08,Proper use and storage of clean utensils (including single service utensils)
Essar Centre Concession Stands,269 Queen Street,Sault Ste. Marie,2016-12-08,Separate hand washing basin provided for food handlers
Essar Centre Concession Stands,269 Queen Street,Sault Ste. Marie,2015-03-12,No infractions found at the time of inspection
Essar Centre Concession Stands,269 Queen Street,Sault Ste. Marie,2015-03-12,No infractions found at the time of inspection
Essar Centre Kitchen,269 Queen Street,Sault Ste. Marie,2017-06-12,No infractions found at the time of inspection
Essar Centre Kitchen,269 Queen Street,Sault Ste. Marie,2017-06-12,No infractions found at the time of inspection
Essar Centre Kitchen,269 Queen Street,Sault Ste. Marie,2016-12-08,No infractions found at the time of inspection
Essar Centre Kitchen,269 Queen Street,Sault Ste. Marie,2016-12-08,No infractions found at the time of inspection
Essar Centre Kitchen,269 Queen Street,Sault Ste. Marie,2015-09-23,No infractions found at the time of inspection
Essar Centre Kitchen,269 Queen Street,Sault Ste. Marie,2015-09-23,No infractions found at the time of inspection
Esso (McDougall Energy),207  Wellington Street,Sault Ste. Marie,2016-08-30,No infractions found at the time of inspection
Esso (McDougall Energy),207  Wellington Street,Sault Ste. Marie,2016-08-30,No infractions found at the time of inspection
Esso (McDougall Energy),207  Wellington Street,Sault Ste. Marie,2015-12-16,No infractions found at the time of inspection
Esso (McDougall Energy),207  Wellington Street,Sault Ste. Marie,2015-12-16,No infractions found at the time of inspection
Esso (McDougall Energy),207  Wellington Street,Sault Ste. Marie,2014-07-22,No infractions found at the time of inspection
Esso (McDougall Energy),207  Wellington Street,Sault Ste. Marie,2014-07-22,No infractions found at the time of inspection
Esso Elliot Lake,Highway 108,Elliot Lake,2017-04-05,No infractions found at the time of inspection
Esso Elliot Lake,Highway 108,Elliot Lake,2017-04-05,No infractions found at the time of inspection
Esso Elliot Lake,Highway 108,Elliot Lake,2014-02-07,No infractions found at the time of inspection
Esso Elliot Lake,Highway 108,Elliot Lake,2014-02-07,No infractions found at the time of inspection
Esso Elliot Lake,Highway 108,Elliot Lake,2013-04-24,No infractions found at the time of inspection
Esso Elliot Lake,Highway 108,Elliot Lake,2013-04-24,No infractions found at the time of inspection
Esso On The Run,442 Bruce Street,Sault Ste. Marie,2016-11-14,No infractions found at the time of inspection
Esso On The Run,442 Bruce Street,Sault Ste. Marie,2016-11-14,No infractions found at the time of inspection
Esso On The Run,442 Bruce Street,Sault Ste. Marie,2015-08-25,No infractions found at the time of inspection
Esso On The Run,442 Bruce Street,Sault Ste. Marie,2015-08-25,No infractions found at the time of inspection
Esso On The Run,442 Bruce Street,Sault Ste. Marie,2014-06-24,No infractions found at the time of inspection
Esso On The Run,442 Bruce Street,Sault Ste. Marie,2014-06-24,No infractions found at the time of inspection
Esso On The Run,3  Trunk Road,Sault Ste. Marie,2017-06-16,"Floors, walls, and ceilings clean and in good repair"
Esso On The Run,3  Trunk Road,Sault Ste. Marie,2017-06-16,No infractions found at the time of inspection
Esso On The Run,3  Trunk Road,Sault Ste. Marie,2016-08-31,No infractions found at the time of inspection
Esso On The Run,3  Trunk Road,Sault Ste. Marie,2016-08-31,No infractions found at the time of inspection
Esso On The Run,3  Trunk Road,Sault Ste. Marie,2015-09-17,Sanitize test kit / thermometer readily available for verifying dishwashing and sanitizing temperatures
Esso On The Run,3  Trunk Road,Sault Ste. Marie,2015-09-17,No infractions found at the time of inspection
Extendicare Maple View,650 Northern Avenue,Sault Ste. Marie,2017-10-12,No infractions found at the time of inspection
Extendicare Maple View,650 Northern Avenue,Sault Ste. Marie,2017-10-12,No infractions found at the time of inspection
Extendicare Maple View,650 Northern Avenue,Sault Ste. Marie,2017-05-09,Hand washing basin with supplies of soap and paper towels in dispensers
Extendicare Maple View,650 Northern Avenue,Sault Ste. Marie,2017-05-09,No infractions found at the time of inspection
Extendicare Maple View,650 Northern Avenue,Sault Ste. Marie,2017-02-10,No infractions found at the time of inspection
Extendicare Maple View,650 Northern Avenue,Sault Ste. Marie,2017-02-10,No infractions found at the time of inspection
Extendicare Van Daele,39  Van Daele Street,Sault Ste. Marie,2017-10-05,No infractions found at the time of inspection
Extendicare Van Daele,39  Van Daele Street,Sault Ste. Marie,2017-10-05,No infractions found at the time of inspection
Extendicare Van Daele,39  Van Daele Street,Sault Ste. Marie,2017-05-08,"Mechanical dishwashing: Wash / rinse water clean, water temperature, timing cycles, sanitizer"
Extendicare Van Daele,39  Van Daele Street,Sault Ste. Marie,2017-05-08,Sanitize test kit / thermometer readily available for verifying dishwashing and sanitizing temperatures
Extendicare Van Daele,39  Van Daele Street,Sault Ste. Marie,2017-05-08,No infractions found at the time of inspection
Extendicare Van Daele,39  Van Daele Street,Sault Ste. Marie,2017-01-13,No infractions found at the time of inspection
Extendicare Van Daele,39  Van Daele Street,Sault Ste. Marie,2017-01-13,No infractions found at the time of inspection
F.J. Davey Home,733  Third Line,Sault Ste. Marie,2017-07-24,No infractions found at the time of inspection
F.J. Davey Home,733  Third Line,Sault Ste. Marie,2017-07-24,No infractions found at the time of inspection
F.J. Davey Home,733  Third Line,Sault Ste. Marie,2017-03-14,No infractions found at the time of inspection
F.J. Davey Home,733  Third Line,Sault Ste. Marie,2017-03-14,Food protected from potential contamination and adulteration
F.J. Davey Home,733  Third Line,Sault Ste. Marie,2017-03-14,Proper use and storage of clean utensils (including single service utensils)
F.J. Davey Home,733  Third Line,Sault Ste. Marie,2016-09-19,Proper use and storage of clean utensils (including single service utensils)
F.J. Davey Home,733  Third Line,Sault Ste. Marie,2016-09-19,Food protected from potential contamination and adulteration
F.J. Davey Home,733  Third Line,Sault Ste. Marie,2016-09-19,Separate hand washing basin provided for food handlers
Fairfield Inn and Suites by Marriott,633 Great Northern Road,Sault Ste. Marie,2016-08-26,No infractions found at the time of inspection
Fairfield Inn and Suites by Marriott,633 Great Northern Road,Sault Ste. Marie,2016-08-26,No infractions found at the time of inspection
Fairfield Inn and Suites by Marriott,633 Great Northern Road,Sault Ste. Marie,2015-03-09,No infractions found at the time of inspection
Fairfield Inn and Suites by Marriott,633 Great Northern Road,Sault Ste. Marie,2015-03-09,No infractions found at the time of inspection
Fairfield Inn and Suites by Marriott,633 Great Northern Road,Sault Ste. Marie,2014-06-06,No infractions found at the time of inspection
Fairfield Inn and Suites by Marriott,633 Great Northern Road,Sault Ste. Marie,2014-06-06,No infractions found at the time of inspection
Fat Raccoon Bakery,4 Charles Walk,Elliot Lake,2017-02-08,No infractions found at the time of inspection
Fat Raccoon Bakery,4 Charles Walk,Elliot Lake,2017-02-08,No infractions found at the time of inspection
Fat Raccoon Bakery,4 Charles Walk,Elliot Lake,2016-05-03,No infractions found at the time of inspection
Fat Raccoon Bakery,4 Charles Walk,Elliot Lake,2016-05-03,No infractions found at the time of inspection
Fat Raccoon Bakery,4 Charles Walk,Elliot Lake,2015-06-02,No infractions found at the time of inspection
Fat Raccoon Bakery,4 Charles Walk,Elliot Lake,2015-06-02,No infractions found at the time of inspection
Feeding Your Soul Cafe,96 White Oak Drive,Sault Ste. Marie,2017-10-17,No infractions found at the time of inspection
Feeding Your Soul Cafe,96 White Oak Drive,Sault Ste. Marie,2017-10-17,No infractions found at the time of inspection
Fireside Classic Grill,14 Oakland Blvd,Elliot Lake,2017-10-26,No infractions found at the time of inspection
Fireside Classic Grill,14 Oakland Blvd,Elliot Lake,2017-10-26,No infractions found at the time of inspection
Fireside Classic Grill,14 Oakland Blvd,Elliot Lake,2017-02-14,"Floors, walls, and ceilings clean and in good repair"
Fireside Classic Grill,14 Oakland Blvd,Elliot Lake,2017-02-14,No infractions found at the time of inspection
Fireside Classic Grill,14 Oakland Blvd,Elliot Lake,2016-10-25,No infractions found at the time of inspection
Fireside Classic Grill,14 Oakland Blvd,Elliot Lake,2016-10-25,No infractions found at the time of inspection
Fireside Express Grill,14 Oakland Boulevard,Elliot Lake,2017-04-05,No infractions found at the time of inspection
Fireside Express Grill,14 Oakland Boulevard,Elliot Lake,2017-04-05,No infractions found at the time of inspection
Fireside Express Grill,14 Oakland Boulevard,Elliot Lake,2016-04-18,No infractions found at the time of inspection
Fireside Express Grill,14 Oakland Boulevard,Elliot Lake,2016-04-18,No infractions found at the time of inspection
Fireside Express Grill,14 Oakland Boulevard,Elliot Lake,2015-11-04,No infractions found at the time of inspection
Fireside Express Grill,14 Oakland Boulevard,Elliot Lake,2015-11-04,No infractions found at the time of inspection
Fishing Moose Lodge,Lot 1137 HWY17N Mile Marker 957,White River,2017-01-04,Certified food handler on site during inspection
Fishing Moose Lodge,Lot 1137 HWY17N Mile Marker 957,White River,2017-01-04,Re-heating: to original cooking temperature within 2 hours
Fishing Moose Lodge,Lot 1137 HWY17N Mile Marker 957,White River,2015-11-19,No infractions found at the time of inspection
Fishing Moose Lodge,Lot 1137 HWY17N Mile Marker 957,White River,2015-11-19,No infractions found at the time of inspection
Fishing Moose Lodge,Lot 1137 HWY17N Mile Marker 957,White River,2015-09-24,No infractions found at the time of inspection
Fishing Moose Lodge,Lot 1137 HWY17N Mile Marker 957,White River,2015-09-24,No infractions found at the time of inspection
Flying J Truck Stop,996  Great Northern Road,Sault Ste. Marie,2016-06-09,No infractions found at the time of inspection
Flying J Truck Stop,996  Great Northern Road,Sault Ste. Marie,2016-06-09,No infractions found at the time of inspection
Flying J Truck Stop,996  Great Northern Road,Sault Ste. Marie,2015-12-18,No infractions found at the time of inspection
Flying J Truck Stop,996  Great Northern Road,Sault Ste. Marie,2015-12-18,No infractions found at the time of inspection
Food Basics,625 Trunk Road,Sault Ste. Marie,2017-08-23,Mechanical ventilation operable where required
Food Basics,625 Trunk Road,Sault Ste. Marie,2017-08-23,Food protected from potential contamination and adulteration
Food Basics,625 Trunk Road,Sault Ste. Marie,2017-08-23,Hand washing basin with supplies of soap and paper towels in dispensers
Food Basics,625 Trunk Road,Sault Ste. Marie,2017-08-23,Sanitary maintenance of and provision of required supplies in staff / public washroom facilities
Food Basics,625 Trunk Road,Sault Ste. Marie,2017-08-23,Separate hand washing basin provided for food handlers
Food Basics,625 Trunk Road,Sault Ste. Marie,2016-09-02,No infractions found at the time of inspection
Food Basics,625 Trunk Road,Sault Ste. Marie,2016-09-02,No infractions found at the time of inspection
Food Basics,625 Trunk Road,Sault Ste. Marie,2015-09-02,General housekeeping is satisfactory
Food Basics,625 Trunk Road,Sault Ste. Marie,2015-09-02,No condemnation / seizure required
Food Basics,701  Pine Street,Sault Ste. Marie,2017-03-28,No infractions found at the time of inspection
Food Basics,701  Pine Street,Sault Ste. Marie,2017-03-28,No infractions found at the time of inspection
Food Basics,701  Pine Street,Sault Ste. Marie,2016-10-05,No infractions found at the time of inspection
Food Basics,701  Pine Street,Sault Ste. Marie,2016-10-05,No infractions found at the time of inspection
Food Basics,701  Pine Street,Sault Ste. Marie,2016-05-04,No infractions found at the time of inspection
Food Basics,701  Pine Street,Sault Ste. Marie,2016-05-04,No infractions found at the time of inspection
Foodland,120 Hillside Drive North,Elliot Lake,2017-03-07,No infractions found at the time of inspection
Foodland,120 Hillside Drive North,Elliot Lake,2017-03-07,No infractions found at the time of inspection
Foodland,120 Hillside Drive North,Elliot Lake,2016-03-30,No infractions found at the time of inspection
Foodland,120 Hillside Drive North,Elliot Lake,2016-03-30,No infractions found at the time of inspection
Foodland,120 Hillside Drive North,Elliot Lake,2015-02-17,No infractions found at the time of inspection
Foodland,120 Hillside Drive North,Elliot Lake,2015-02-17,No infractions found at the time of inspection
Foster's Freshmart,14 Robinson Drive,Bruce Mines,2017-04-27,No infractions found at the time of inspection
Foster's Freshmart,14 Robinson Drive,Bruce Mines,2017-04-27,No infractions found at the time of inspection
Foster's Freshmart,14 Robinson Drive,Bruce Mines,2016-10-20,No infractions found at the time of inspection
Foster's Freshmart,14 Robinson Drive,Bruce Mines,2016-10-20,No infractions found at the time of inspection
Foster's Freshmart,14 Robinson Drive,Bruce Mines,2016-02-02,"Food contact surfaces properly designed, constructed, installed and maintained"
Foster's Freshmart,14 Robinson Drive,Bruce Mines,2016-02-02,No infractions found at the time of inspection
Four Seasons Complex,40 Garnier Road,Spanish,2017-03-31,No infractions found at the time of inspection
Four Seasons Complex,40 Garnier Road,Spanish,2017-03-31,No infractions found at the time of inspection
Four Seasons Complex,40 Garnier Road,Spanish,2016-06-10,No infractions found at the time of inspection
Four Seasons Complex,40 Garnier Road,Spanish,2016-06-10,No infractions found at the time of inspection
Four Seasons Complex,40 Garnier Road,Spanish,2015-06-05,No infractions found at the time of inspection
Four Seasons Complex,40 Garnier Road,Spanish,2015-06-05,No infractions found at the time of inspection
Franguilia,2258 Second Line,Sault Ste. Marie,2017-07-26,No infractions found at the time of inspection
Franguilia,2258 Second Line,Sault Ste. Marie,2017-07-26,No infractions found at the time of inspection
Fratelli's Kitchen & Pizza,522  Great Northern Road,Sault Ste. Marie,2017-08-29,"Adequate protection against the entrance of insects, birds, rodents, and other pests and animals"
Fratelli's Kitchen & Pizza,522  Great Northern Road,Sault Ste. Marie,2017-08-29,Separate raw foods from ready-to-eat foods during storage and handling
Fratelli's Kitchen & Pizza,522  Great Northern Road,Sault Ste. Marie,2017-04-10,No infractions found at the time of inspection
Fratelli's Kitchen & Pizza,522  Great Northern Road,Sault Ste. Marie,2017-04-10,No infractions found at the time of inspection
Fratelli's Kitchen & Pizza,522  Great Northern Road,Sault Ste. Marie,2016-12-08,No infractions found at the time of inspection
Fratelli's Kitchen & Pizza,522  Great Northern Road,Sault Ste. Marie,2016-12-08,No infractions found at the time of inspection
Fraternal Order Of Eagles,246  Wellington Street,Sault Ste. Marie,2016-09-14,No infractions found at the time of inspection
Fraternal Order Of Eagles,246  Wellington Street,Sault Ste. Marie,2016-09-14,No infractions found at the time of inspection
Fraternal Order Of Eagles,246  Wellington Street,Sault Ste. Marie,2015-12-18,No infractions found at the time of inspection
